RSP001	U+12038
RSP002	x12038.x12038
RSP003	U+12415
RSP004	U+12460
RSP005	U+12079
RSP006	U+1230B
RSP007	U+120F7
RSP008	U+1230B
RSP009	U+1245D
RSP010	U+1245E
RSP011	U+1206F
RSP011	U+12079
RSP012	U+1230C
RSP013	x1230B.x12157
RSP014	x1230B.x120B5
RSP015	x1230B.x1201C
RSP016	x1230B.x120F6
RSP017	x1230B.x12313.x121A4
RSP018	x122D9.x1202D.x12132
RSP019bis	U+1244F
RSP019bis	U+12450
RSP019bis	U+12451
RSP019bis	U+12452
RSP019bis	U+12454
RSP019	U+12226
RSP020	U+1245F
RSP021	U+1241E
RSP022	U+12456
RSP023	U+12457
RSP024	U+12550
RSP025	U+1256B
RSP026	U+12589
RSP027	U+12574
RSP028	U+12562
RSP029	U+120F7
RSP029	U+12562
RSP030	U+12579
RSP031	U+120F7
RSP031	U+12579
RSP032	U+12582
RSP033	U+12587
RSP034	U+1258E
RSP035	
RSP036bis	U+12593
RSP036bis	U+12594
RSP036bis	U+12595
RSP036bis	U+12596
RSP036bis	U+12597
RSP036	U+12593
RSP037	U+1255A
RSP038	U+1255B
RSP039	U+1222B
RSP039	U+122F0
RSP040	U+121F2
RSP041	x121F2.x121B8
RSP042	x121F3.x122AC
RSP043	x121F3.x1207A.x1207A
RSP044	U+12047
RSP045	U+12228
RSP046	U+121FA
RSP047	U+12226
RSP048bis	U+12041
RSP048	U+12142
RSP048	U+12300
RSP049	U+1227D
RSP050	U+120F5
RSP051	U+12000
RSP052	x12000.x12146
RSP053	x12000.x1202D
RSP054	x12000.x121C9
RSP055	U+12342
RSP056	U+1227A
RSP057	x1227A.x121FB
RSP058	x1227A.x1207D
RSP059	x1227A.x122FC.x122DB
RSP060	U+120F0
RSP061	x120F0.x122FA.x122DB
RSP062	x120F0.X
RSP063	U+122E1
RSP064	U+122FB
RSP065	U+121B3
RSP066	U+12146
RSP067	U+1214A
RSP068	x12146.x120FB
RSP069	x12146.x121B8
RSP070	U+12147
RSP071	x12146.x12328
RSP072	x12146.x1207E
RSP073	x12146.x1207A
RSP074	x12146.x12292
RSP075	U+12261
RSP076	U+1212C
RSP077	U+1235D
RSP078	x1235D.x12122
RSP079	U+1227F
RSP080	U+1202D
RSP081	U+1202E
RSP082	U+1202F
RSP083	x1202D.x1223E
RSP084	U+12077
RSP085	U+121B0
RSP086	U+12015
RSP086	U+121B0
RSP087	U+12044
RSP088	U+12054
RSP089	U+122FE
RSP090	x122C0.x12015
RSP091	U+122C0
RSP092	x122C0.x121A0
RSP093	U+F0000
RSP093	U+F0001
RSP093	U+F0002
RSP093	U+F0003
RSP093	U+F0004
RSP093	U+F0005
RSP093	U+F0006
RSP093	U+F0007
RSP093	U+F0008
RSP094	U+12263
RSP095	x12263.x12228.x12164
RSP095	x12263.x12228.x12174
RSP096	x12263.x12228.x122F3
RSP097	U+120B5
RSP097	U+12263
RSP098	U+12239
RSP099	x12000.x12239
RSP100	x12239.x1209E
RSP101	U+124F9
RSP102	U+1226A
RSP103	U+12141
RSP104	U+12083
RSP104	U+120EE
RSP105	U+12252
RSP106	U+12598
RSP107	U+12599
RSP108	U+1225A
RSP109	U+12258
RSP110	U+1202B
RSP111	U+12123
RSP112	U+12124
RSP113	U+12231
RSP114	U+122DE
RSP115	U+12225
RSP116	U+1219C
RSP117	x1219C.x120B5
RSP118	U+1244E
RSP119	U+1244D
RSP120	U+1222A
RSP121	U+1237C
RSP122	U+1213E
RSP123	U+12156
RSP124	U+122D7
RSP125	x122D7.x12240
RSP126	U+122D8
RSP127	U+121F8
RSP128	U+1203E
RSP129	U+120F2
RSP130	U+12217
RSP131	U+1221B
RSP132	U+12293
RSP133	U+122A8
RSP133	U+12311
RSP134	U+12047
RSP134	U+12056
RSP135	U+1218D
RSP136	U+12327
RSP137	U+12260
RSP138	U+1221D
RSP139	U+12040
RSP140	U+121EC
RSP141	U+1236A
RSP142	x1236A.x1200A
RSP143	U+122E2
RSP144	x1230B.x12306
RSP145	x121EF.x1207A
RSP146	U+121ED
RSP147	U+12195
RSP148	U+1224C
RSP149	U+1238E
RSP150	x1224C.x12307
RSP151	U+12155
RSP152	U+120FB
RSP153	U+122A9
RSP154	x122A9.x12228
RSP155	U+12096
RSP156	x122A9.x1203E.x120FC
RSP157	x122A9.x12351.x12072
RSP158	x122A9.x12351.x12072.x121A4
RSP159	U+12016
RSP160	x12016.x121AA
RSP161	x12016.x122AE
RSP162	x12016.x122AE.x12100
RSP163	x12016.x122FA
RSP164	U+12053
RSP165	U+121A0
RSP166	U+122D6
RSP167	U+122AD
RSP168	U+1222E
RSP169	U+1222F
RSP170	U+122E9
RSP171	U+1227B
RSP172	x1227B.x1202D.x12239
RSP173	x122A9.x121B3
RSP174	U+12314
RSP175	U+1236E
RSP176	U+12116
RSP177	U+12244
RSP178bis	U+122E6
RSP178	U+122E8
RSP179	U+120F4
RSP179	U+124E3
RSP180	U+120F4
RSP181	U+12129
RSP182	U+1212B
RSP183	U+12004
RSP183	x12129.x12000
RSP184	U+121F4
RSP185	U+12312
RSP186	x12263.x121EC
RSP187	U+1211E
RSP188	U+12120
RSP189	
RSP189*	
RSP190	U+1238F
RSP191	U+1206E
RSP192	U+12295
RSP193	U+122A8
RSP194	
RSP195	U+1229A
RSP196	U+12299
RSP197	U+12157
RSP198	U+12174
RSP199	U+12158
RSP200	U+12165
RSP201	U+12183
RSP202	
RSP203	U+1216E
RSP204	U+12188
RSP205	U+12181
RSP206	
